lyric_clean
he said the way my blue eyes shined
put those georgia stars to shame that night
i said that is a lie
just a boy in a chevy truck
that had a tendency of gettin' stuck
on backroads at night
and i was right there beside him all summer long
and then the time we woke up to find that summer gone
but when you think tim mcgraw
i hope you think my favorite song
the one we danced to all night long
the moon like a spotlight on the lake
when you think happiness
i hope you think that little black dress
think of my head on your chest
and my old faded blue jeans
when you think tim mcgraw
i hope you think of me
september saw a month of tears
and thankin' god that you were not here
to see me like that
but in a box beneath my bed
is a letter that you never read
from three summers back
it is hard not to find it all a little bittersweet
and lookin' back on all of that it is nice to believe
when you think tim mcgraw
i hope you think my favorite song
the one we danced to all night long
the moon like a spotlight on the lake
when you think happiness
i hope you think that little black dress
think of my head on your chest
and my old faded blue jeans
when you think tim mcgraw
i hope you think of me
and i am back for the first time since then
i am standin' on your street
and there is a letter left on your doorstep
and the first thing that you will read is
when you think tim mcgraw
i hope you think my favorite song
someday you will turn your radio on
i hope it takes you back to that place
when you think happiness
i hope you think that little black dress
think of my head on your chest
and my old faded blue jeans
when you think tim mcgraw
i hope you think of me
oh think of me
mmmm
he said the way my blue eyes shine
put those georgia stars to shame that night
i said that is a lie
state the obvious i did not get my perfect fantasy
i realize you love yourself more than you could ever love me
so go and tell your friends that i am obsessive and crazy
that is fine i will tell mine that you are gay
by the way
i hate that stupid old pickup truck
you never let me drive
you are a redneck heartbreak
who is really bad at lying
so watch me strike a match
on all my wasted time
as far as i am concerned you are
just another picture to burn
there is no time for tears
i am just sitting here planning my revenge
there is nothing stopping me
from going out with all of your best friends
and if you come around saying sorry to me
my daddy's gonna show you how sorry you will be
i hate that stupid old pickup truck
you never let me drive
you are a redneck heartbreak
who is really bad at lying
so watch me strike a match
on all my wasted time
as far as i am concerned you are
just another picture to burn
and if you are missing me
you would better keep it to yourself
because coming back around here
would be bad for your health
cause i hate that stupid old pickup truck
you never let me drive
you are a redneck heartbreak
who is really bad at lying
so watch me strike a match
on all my wasted time
in case you have not heard
i really really hate that
i hate that stupid old pickup truck
you never let me drive
you are a redneck heartbreak
who is really bad at lying
so watch me strike a match
on all my wasted time
as far as i am concerned you are
just another picture to burn
burn burn burn baby burn
you are just another picture to burn
baby burn
drew looks at me
i fake a smile so he will not see
that i want and i am needing
